code	root	parents	filename	title
cic	musk	wmsk	ALL_Ethnologue15/10220.xml	Muskogean: Ethnologue 2005
akz	musk	emsk	ALL_Ethnologue15/10220.xml	Muskogean: Ethnologue 2005
mik	musk	emsk	ALL_Ethnologue15/10220.xml	Muskogean: Ethnologue 2005
mus	musk	emsk	ALL_Ethnologue15/10220.xml	Muskogean: Ethnologue 2005
cho	musk	wmsk	ALL_Ethnologue15/10220.xml	Muskogean: Ethnologue 2005
cku	musk	emsk	ALL_Ethnologue15/10220.xml	Muskogean: Ethnologue 2005
xtw	namb	namb	ALL_Ethnologue15/10221.xml	Nambiquaran: Ethnologue 2005
nab	namb	namb	ALL_Ethnologue15/10221.xml	Nambiquaran: Ethnologue 2005
mbg	namb	namb	ALL_Ethnologue15/10221.xml	Nambiquaran: Ethnologue 2005
sae	namb	namb	ALL_Ethnologue15/10221.xml	Nambiquaran: Ethnologue 2005
wmd	namb	namb	ALL_Ethnologue15/10221.xml	Nambiquaran: Ethnologue 2005
qvl	quch	quew	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qvm	quch	quew	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qvn	quch	quew	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qvo	quch	queb	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qvh	quch	quew	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qvi	quch	queb	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qvj	quch	queb	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qvz	quch	queb	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qva	quch	quew	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qvc	quch	quea	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
inj	quch	queb	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qvw	quch	quew	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qvp	quch	quea	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
inb	quch	queb	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qvs	quch	queb	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qve	quch	quec	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
cqu	quch	quec	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qup	quch	queb	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qus	quch	quec	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qur	quch	quew	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
quw	quch	queb	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qwh	quch	quew	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
quy	quch	quec	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qux	quch	quea	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
quz	quch	quec	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qwc	quch	quec	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qwa	quch	quew	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qub	quch	quew	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qud	quch	queb	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qug	quch	queb	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
quf	quch	quea	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
quh	quch	quec	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
quk	quch	queb	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qws	quch	quew	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qul	quch	quec	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qxc	quch	quea	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qxa	quch	quew	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qxh	quch	quew	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qxn	quch	quew	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qxo	quch	quew	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qxl	quch	queb	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qxr	quch	queb	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qxp	quch	quec	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qxw	quch	quew	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qxt	quch	quew	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
qxu	quch	quec	ALL_Ethnologue15/10225.xml	Quechuan: Ethnologue 2005
slc	slvn	slvn	ALL_Ethnologue15/10227.xml	Salivan: Ethnologue 2005
pid	slvn	slvn	ALL_Ethnologue15/10227.xml	Salivan: Ethnologue 2005
wpc	slvn	slvn	ALL_Ethnologue15/10227.xml	Salivan: Ethnologue 2005
oma	siou	dheg	ALL_Ethnologue15/10229.xml	Siouan: Ethnologue 2005
chc	siou	cata	ALL_Ethnologue15/10229.xml	Siouan: Ethnologue 2005
bll	siou	bilx	ALL_Ethnologue15/10229.xml	Siouan: Ethnologue 2005
iow	siou	chiw	ALL_Ethnologue15/10229.xml	Siouan: Ethnologue 2005
win	siou	winn	ALL_Ethnologue15/10229.xml	Siouan: Ethnologue 2005
sto	siou	dako	ALL_Ethnologue15/10229.xml	Siouan: Ethnologue 2005
ofo	siou	bilx	ALL_Ethnologue15/10229.xml	Siouan: Ethnologue 2005
tta	siou	tute	ALL_Ethnologue15/10229.xml	Siouan: Ethnologue 2005
dak	siou	dako	ALL_Ethnologue15/10229.xml	Siouan: Ethnologue 2005
qua	siou	dheg	ALL_Ethnologue15/10229.xml	Siouan: Ethnologue 2005
asb	siou	dako	ALL_Ethnologue15/10229.xml	Siouan: Ethnologue 2005
hid	siou	misv	ALL_Ethnologue15/10229.xml	Siouan: Ethnologue 2005
osa	siou	dheg	ALL_Ethnologue15/10229.xml	Siouan: Ethnologue 2005
lkt	siou	dako	ALL_Ethnologue15/10229.xml	Siouan: Ethnologue 2005
cro	siou	misv	ALL_Ethnologue15/10229.xml	Siouan: Ethnologue 2005
ksk	siou	dheg	ALL_Ethnologue15/10229.xml	Siouan: Ethnologue 2005
mhq	siou	mann	ALL_Ethnologue15/10229.xml	Siouan: Ethnologue 2005
rwa	skoo	kris	ALL_Ethnologue15/10230.xml	Sko: Ethnologue 2005
skv	skoo	vanm	ALL_Ethnologue15/10230.xml	Sko: Ethnologue 2005
wra	skoo	kris	ALL_Ethnologue15/10230.xml	Sko: Ethnologue 2005
wut	skoo	vanm	ALL_Ethnologue15/10230.xml	Sko: Ethnologue 2005
vam	skoo	vanm	ALL_Ethnologue15/10230.xml	Sko: Ethnologue 2005
pux	skoo	kris	ALL_Ethnologue15/10230.xml	Sko: Ethnologue 2005
ksi	skoo	kris	ALL_Ethnologue15/10230.xml	Sko: Ethnologue 2005
yyu	torr	wape	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
tei	torr	komb	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
alx	torr	pale	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
oin	torr	onee	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
avt	torr	wape	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
osu	torr	onee	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
ong	torr	wape	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
wii	torr	wiak	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
dia	torr	wape	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
lsr	torr	pale	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
aur	torr	komb	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
lll	torr	monu	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
onr	torr	onee	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
aun	torr	onee	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
bvn	torr	mrbg	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
ape	torr	arap	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
elk	torr	wape	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
lkl	torr	lali	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
mkc	torr	mapr	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
siu	torr	wape	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
auk	torr	mapr	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
ele	torr	mrbg	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
mwb	torr	mrbg	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
ymb	torr	komb	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
wmo	torr	komb	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
yis	torr	wape	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
rhp	torr	mapr	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
kms	torr	mrbg	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
yev	torr	wape	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
aof	torr	pale	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
aon	torr	arap	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
aoj	torr	arap	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
but	torr	mrbg	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
niz	torr	wape	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
mzf	torr	pale	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
mxk	torr	monu	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
tua	torr	mrbg	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
okk	torr	onee	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
sbi	torr	wwap	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
wnp	torr	pale	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
stf	torr	wwap	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
mty	torr	pale	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
eit	torr	komb	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
gnu	torr	wape	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
van	torr	wape	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
uri	torr	urim	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
onk	torr	onee	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
urt	torr	urat	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
bey	torr	beli	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
xbi	torr	komb	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
yll	torr	wape	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
aif	torr	pale	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
urx	torr	mrbg	ALL_Ethnologue15/10233.xml	Torricelli: Ethnologue 2005
arp	algi	arho	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
ojw	algi	ojib	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
nsk	algi	cmna	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
ojs	algi	ojib	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
sac	algi	calg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
pot	algi	calg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
ojg	algi	ojib	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
ojb	algi	ojib	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
ojc	algi	ojib	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
pim	algi	ealg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
nnt	algi	ealg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
wiy	algi	wiyo	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
alq	algi	ojib	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
umu	algi	ealg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
wam	algi	ealg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
abe	algi	ealg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
mia	algi	calg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
mic	algi	ealg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
aaq	algi	ealg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
csw	algi	cmna	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
otw	algi	ojib	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
bla	algi	palg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
cwd	algi	cmna	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
lmz	algi	unal	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
pqm	algi	ealg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
psy	algi	algo	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
chy	algi	palg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
kic	algi	calg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
mof	algi	ealg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
moe	algi	cmna	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
mez	algi	calg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
crr	algi	algo	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
yur	algi	yuro	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
atj	algi	cmna	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
sjw	algi	calg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
unm	algi	ealg	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
ciw	algi	ojib	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
ats	algi	arho	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
crj	algi	cmna	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
crk	algi	cmna	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
nwa	algi	arho	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
mjy	algi	algo	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
crl	algi	cmna	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
crm	algi	cmna	ALL_Ethnologue15/10235.xml	Algic: Ethnologue 2005
jqr	ayma	ayma	ALL_Ethnologue15/10242.xml	Aymaran: Ethnologue 2005
ayc	ayma	ayma	ALL_Ethnologue15/10242.xml	Aymaran: Ethnologue 2005
ayr	ayma	ayma	ALL_Ethnologue15/10242.xml	Aymaran: Ethnologue 2005
bpb	barb	past	ALL_Ethnologue15/10243.xml	Barbacoan: Ethnologue 2005
ana	barb	andq	ALL_Ethnologue15/10243.xml	Barbacoan: Ethnologue 2005
kwi	barb	past	ALL_Ethnologue15/10243.xml	Barbacoan: Ethnologue 2005
cbi	barb	caco	ALL_Ethnologue15/10243.xml	Barbacoan: Ethnologue 2005
gum	barb	coco	ALL_Ethnologue15/10243.xml	Barbacoan: Ethnologue 2005
ttk	barb	coco	ALL_Ethnologue15/10243.xml	Barbacoan: Ethnologue 2005
cof	barb	caco	ALL_Ethnologue15/10243.xml	Barbacoan: Ethnologue 2005
xaq	basq	basq	ALL_Ethnologue15/10244.xml	Basque: Ethnologue 2005
bqe	basq	basq	ALL_Ethnologue15/10244.xml	Basque: Ethnologue 2005
bsz	basq	basq	ALL_Ethnologue15/10244.xml	Basque: Ethnologue 2005
eus	basq	basq	ALL_Ethnologue15/10244.xml	Basque: Ethnologue 2005
jeb	cahu	cahu	ALL_Ethnologue15/10245.xml	Cahuapanan: Ethnologue 2005
cbt	cahu	cahu	ALL_Ethnologue15/10245.xml	Cahuapanan: Ethnologue 2005
sja	choc	semb	ALL_Ethnologue15/10246.xml	Choco: Ethnologue 2005
cmi	choc	semb	ALL_Ethnologue15/10246.xml	Choco: Ethnologue 2005
bdc	choc	semb	ALL_Ethnologue15/10246.xml	Choco: Ethnologue 2005
tdc	choc	semb	ALL_Ethnologue15/10246.xml	Choco: Ethnologue 2005
rna	choc	choc	ALL_Ethnologue15/10246.xml	Choco: Ethnologue 2005
noa	choc	choc	ALL_Ethnologue15/10246.xml	Choco: Ethnologue 2005
aoh	choc	choc	ALL_Ethnologue15/10246.xml	Choco: Ethnologue 2005
crf	choc	choc	ALL_Ethnologue15/10246.xml	Choco: Ethnologue 2005
emp	choc	nemb	ALL_Ethnologue15/10246.xml	Choco: Ethnologue 2005
ans	choc	choc	ALL_Ethnologue15/10246.xml	Choco: Ethnologue 2005
cto	choc	nemb	ALL_Ethnologue15/10246.xml	Choco: Ethnologue 2005
cca	choc	choc	ALL_Ethnologue15/10246.xml	Choco: Ethnologue 2005
ckt	chka	chuk	ALL_Ethnologue15/10247.xml	Chukchi-Kamchatkan: Ethnologue 2005
kpy	chka	kory	ALL_Ethnologue15/10247.xml	Chukchi-Kamchatkan: Ethnologue 2005
alr	chka	kory	ALL_Ethnologue15/10247.xml	Chukchi-Kamchatkan: Ethnologue 2005
itl	chka	schk	ALL_Ethnologue15/10247.xml	Chukchi-Kamchatkan: Ethnologue 2005
krk	chka	kory	ALL_Ethnologue15/10247.xml	Chukchi-Kamchatkan: Ethnologue 2005
hug	hara	hara	ALL_Ethnologue15/10248.xml	Harakmbet: Ethnologue 2005
amr	hara	hara	ALL_Ethnologue15/10248.xml	Harakmbet: Ethnologue 2005
knm	katk	katk	ALL_Ethnologue15/10250.xml	Katukinan: Ethnologue 2005
xat	katk	katk	ALL_Ethnologue15/10250.xml	Katukinan: Ethnologue 2005
kav	katk	katk	ALL_Ethnologue15/10250.xml	Katukinan: Ethnologue 2005
saj	wpap	sahu	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
mqo	wpap	kaor	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
mqs	wpap	wmak	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
pgu	wpap	kaor	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
tft	wpap	snha	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
loa	wpap	galo	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
tlb	wpap	tobe	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
had	wpap	hatt	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
ayz	wpap	cbhe	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
msg	wpap	wbhe	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
tby	wpap	toba	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
kgr	wpap	nbhe	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
kgw	wpap	cbhe	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
kzz	wpap	wbhe	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
mxn	wpap	wbhe	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
tuj	wpap	tobe	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
gak	wpap	sahu	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
sbg	wpap	wbhe	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
lau	wpap	galo	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
kax	wpap	kaor	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
kps	wpap	wbhe	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
tvo	wpap	snha	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
gbi	wpap	galo	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
wli	wpap	sahu	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
akc	wpap	keba	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
ibu	wpap	sahu	ALL_Ethnologue15/10259.xml	West Papuan: Ethnologue 2005
esu	eska	alas	ALL_Ethnologue15/10267.xml	Eskimo-Aleut: Ethnologue 2005
ess	eska	sibr	ALL_Ethnologue15/10267.xml	Eskimo-Aleut: Ethnologue 2005
ems	eska	alas	ALL_Ethnologue15/10267.xml	Eskimo-Aleut: Ethnologue 2005
ikt	eska	inui	ALL_Ethnologue15/10267.xml	Eskimo-Aleut: Ethnologue 2005
ale	eska	aleu	ALL_Ethnologue15/10267.xml	Eskimo-Aleut: Ethnologue 2005
kal	eska	inui	ALL_Ethnologue15/10267.xml	Eskimo-Aleut: Ethnologue 2005
ynk	eska	sibr	ALL_Ethnologue15/10267.xml	Eskimo-Aleut: Ethnologue 2005
ike	eska	inui	ALL_Ethnologue15/10267.xml	Eskimo-Aleut: Ethnologue 2005
ysr	eska	sibr	ALL_Ethnologue15/10267.xml	Eskimo-Aleut: Ethnologue 2005
esk	eska	inui	ALL_Ethnologue15/10267.xml	Eskimo-Aleut: Ethnologue 2005
esi	eska	inui	ALL_Ethnologue15/10267.xml	Eskimo-Aleut: Ethnologue 2005
bje	hmom	biao	ALL_Ethnologue15/10271.xml	Hmong-Mien: Ethnologue 2005
bmt	hmom	mian	ALL_Ethnologue15/10271.xml	Hmong-Mien: Ethnologue 2005
mww	hmom	chua	ALL_Ethnologue15/10271.xml	Hmong-Mien: Ethnologue 2005
blu	hmom	chua	ALL_Ethnologue15/10271.xml	Hmong-Mien: Ethnologue 2005
hea	hmom	qian	ALL_Ethnologue15/10271.xml	Hmong-Mien: Ethnologue 2005
pha	hmom	whqi	ALL_Ethnologue15/10271.xml	Hmong-Mien: Ethnologue 2005
ium	hmom	mian	ALL_Ethnologue15/10271.xml	Hmong-Mien: Ethnologue 2005
hmy	hmom	chua	ALL_Ethnologue15/10271.xml	Hmong-Mien: Ethnologue 2005
hmz	hmom	chua	ALL_Ethnologue15/10271.xml	Hmong-Mien: Ethnologue 2005
bwx	hmom	bunu	ALL_Ethnologue15/10271.xml	Hmong-Mien: Ethnologue 2005
pnu	hmom	bunu	ALL_Ethnologue15/10271.xml	Hmong-Mien: Ethnologue 2005
hmv	hmom	chua	ALL_Ethnologue15/10271.xml	Hmong-Mien: Ethnologue 2005
hmw	hmom	chua	ALL_Ethnologue15/10271.xml	Hmong-Mien: Ethnologue 2005
hmp	hmom	chua	ALL_Ethnologue15/10271.xml	Hmong-Mien: Ethnologue 2005
hmq	hmom	qian	ALL_Ethnologue15/10271.xml	Hmong-Mien: Ethnologue 2005
